  ,,,,,,,,
,,,,,,,,
Timezones:,ATC,NAN,Nain,,Qualification:,,0,No event identified
,EDT,CDR,Cape Dorset,,,,1,Event is possible but not signifigantly clear
,,CRV,Clyde River,,,,2,Event is identified
,,CHB,Coral Harbour,,,,3,"Event is identified but also has a sharp change, "
,,IGL,Igloolik,,,,,"large amplitude, and notable structure"
,,PGG,Pangirtung,,,,,
,CDT,RBY,Repulse Bay,,Ebre,,> Data of the observatories have been obtained from INTERMAGNET source.,
,MDT,GJO,Gjoa Haven,,Acknowledgements,,  We thank the national institutes that support them and INTERMAGNET for promoting,
,,PBY,Pelly Bay,,,,  high standards of magnetic observatory practice. (www.intermagnet.org),
,,,,,,,,
,,,,,,,,
YEAR,DATE (UTC),TIME (UTC),DATE/TIME (UTC),TYPE,QUALIFICATION,,,
2012,10/31/2012,15:38,10/31/2012 15:38,SSC,2 2 2 2 2,,,
2012,11/12/2012,23:11,11/12/2012 23:11,SSC,2 2 2 2 2,,,
2012,11/23/2012,21:52,11/23/2012 21:52,SI,2 2 2 1 0,,,
,,,,,,,,
2013,1/19/2013,17:32,1/19/2013 17:32,SI,0 2 2 2 2,,,
2013,2/16/2013,12:09,2/16/2013 12:09,SI,0 0 2 1 2,,,
2013,3/15/2013,5:26,3/15/2013 5:26,SI,2 2 2 2 2,,,
2013,3/17/2013,5:59,3/17/2013 5:59,SSC,2 2 2 2 2,,,
2013,4/13/2013,22:54,4/13/2013 22:54,SI,2 2 2 2 2,,,
2013,5/18/2013,1:10,5/18/2013 1:10,SSC,1 1 2 1 0,,,
2013,5/19/2013,23:08,5/19/2013 23:08,SI,2 2 2 2 1,,,
2013,5/24/2013,18:09,5/24/2013 18:09,SSC,2 2 2 2 2,,,
2013,5/25/2013,9:48,5/25/2013 9:48,SSC,2 2 0 1 1,,,
2013,5/31/2013,16:18,5/31/2013 16:18,SSC,0 2 2 2 2,,,
2013,6/23/2013,4:26,6/23/2013 4:26,SI,2 2 1 2 2,,,
2013,6/27/2013,14:38,6/27/2013 14:38,SSC,2 0 2 2 2,,,
2013,7/9/2013,20:52,7/9/2013 20:52,SI,1 2 2 2 1,,,
2013,8/20/2013,22:28,8/20/2013 22:28,SI,1 2 2 1 1,,,
2013,10/2/2013,1:55,10/2/2013 1:55,SSC,2 3 3 2 2,,,
2013,10/8/2013,20:20,10/8/2013 20:20,SSC,3 2 3 3 3,,,
2013,12/13/2013,13:23,12/13/2013 13:23,SI,1 0 2 1 1,,,
,,,,,,,,
2014,1/7/2014,15:12,1/7/2014 15:12,SI,0 0 1 1 1,,,
2014,1/9/2014,20:08,1/9/2014 20:08,SI,2 2 1 2 2,,,
2014,2/7/2014,17:05,2/7/2014 17:05,SI,2 2 2 2 2,,,
2014,2/15/2014,13:16,2/15/2014 13:16,SSC,2 2 2 2 2,,,
2014,2/20/2014,3:18,2/20/2014 3:18,SSC,2 2 2 2 2,,,
2014,2/23/2014,7:04,2/23/2014 7:04,SSC,3 2 2 2 2,,,
2014,2/27/2014,16:50,2/27/2014 16:50,SSC,4 2 2 2 2,,,
2014,3/25/2014,20:03,3/25/2014 20:03,SI,2 2 2 2 2,,,
2014,4/19/2014,18:36,4/19/2014 18:36,SI,1 1 2 2 2,,,
2014,4/20/2014,10:57,4/20/2014 10:57,SSC,2 2 2 2 2,,,
2014,5/3/2014,17:47,5/3/2014 17:47,SI,0 0 1 1 1,,,
